番号,単語,名詞,動詞,形容詞,副詞,接続詞,前置詞
964,airplane,飛行機,,,,,
965,though,,,,,~だけれども,
966,although,,,,,~だけれども,
967,rise,上昇、増加,上がる、昇る、起きる,,,,
968,set,一組,~を置く、セットする、沈む,,,,
969,belong,,~のものである、~に所属している,,,,
970,above,,,,,上に,~の上に
971,below,,,,,下に,~の下に
972,across,,,,,,~を横切って、~の向こう側に
973,beside,,,,,,~のそばに
974,against,,,,,,~に反対して、~に対抗して
975,per,,,,,,~につき
976,percent,パーセント,,,,,
977,milllion,100万,,100万の,,,
978,middle,真ん中,,真ん中の,,,
979,bit,少し、少量,,,,,
980,push,,押す,,,,
981,pull,,引く、引っ張る,,,,
982,enter,,~に入る、~に入学する,,,,
983,entrance,入口、入学,,,,,
984,business,商売、仕事,,,,,
985,company,会社、仲間,,,,,
986,passport,パスポート、旅券,,,,,
987,tourist,観光客、旅行者,,,,,
988,visitor,訪問者、来客,,,,,
989,exchange,交換,~を交換する,,,,
990,host,主人,主催する、開催する,,,,
991,homestay,ホームステイ,,,,,
992,hometown,故郷,,,,,
993,prepare,,~の準備をする、準備する,,,,
994,express,,~を表現する,急行の,,,
995,expression,表現、表情,,,,,
996,conversation,会話,,,,,
997,discussion,議論、討議,,,,,
998,interview,インタビュー、面接,~にインタビューする,,,,
999,meaning,意味,,,,,
1000,opinion,意見、考え,,,,,
1001,voice,声,,,,,
1002,purpose,目的、意図,,,,,
1003,result,結果、成績,,,,,
1004,case,場合、事例、ケース、箱,,,,,
1005,past,過去,,過去の,,,~を過ぎて
1006,fight,戦い,戦う,,,,
1007,war,戦争,,,,,
1008,arm,腕,,,,,
1009,neck,首,,,,,
1010,shoulder,肩,,,,,
1011,finger,指,,,,,
1012,headache,頭痛,,,,,
1013,memory,記憶、思い出,,,,,
1014,tear,涙,~を裂く,,,,
1015,attention,注意、注目,,,,,
1016,wind,風,,,,,
1017,windy,,,風の強い、風の吹く,,,
1018,low,,,低い、安い,低く,,
1019,bowl,はち、わん、ボウル,,,,,
1020,peach,桃,,,,,
1021,pie,パイ,,,,,
1022,sweet,,,甘い,,,
1023,salt,塩,,,,,
1024,wine,ワイン,,,,,
1025,butter,バター,,,,,
1026,candy,キャンディー,,,,,
1027,sugar,砂糖,,,,,
1028,wide,,,幅が広い,,,
1029,nobody,だれも~ない,,,,,
1030,none,~の何も...でない,,,,,
1031,hey,やあ、ちょっと,,,,,
1032,drum,ドラム、太鼓,,,,,
1033,band,楽団、バンド、ひも、帯,,,,,
1034,theater,劇場、映画館,,,,,
1035,stage,舞台、ステージ,,,,,
1036,perform,,(~を)上演する、~を行う,,,,
1037,performer,上演者,,,,,
1038,performance,上演、演奏、実行,,,,,
1039,instrument,器具、楽器,,,,,
1040,match,試合、マッチ,,,,,
1041,professional,プロ,,プロの、専門職の,,,
1042,medicine,薬、医学,,,,,
1043,medical,,,医学の、医療の,,,
1044,simple,,,簡単な、単純な,,,
1045,tiger,トラ,,,,,
1046,horse,馬,,,,,
1047,crane,鶴,,,,,
1048,vet,獣医,,,,,
1049,author,著者、作家,,,,,
1050,character,登場人物、性格、人格,,,,,
1051,action,行動、行為,,,,,
1052,active,,,活動的な、活発な,,,
1053,brave,,,勇敢な、勇気を持った,,,
1054,east,東,,東の,,,
1055,west,西,,西の,,,
